y_obs,ca_obs,r_obs
-1.790666309369166,-2.9140378625473358,4.388383537602601
-1.908165974265904,-2.8989550478230584,4.482861119486981
-1.9345737973670343,-2.8358261002579574,4.50551252039537
-1.9405620799944447,-2.894550354651556,4.575078385066588
-2.0102838050776226,-2.9309316502703484,4.718189846674679
-2.0221864973773256,-2.845782255035065,4.765736915709746
-2.030476452047891,-2.883763884684149,4.778958473267304
-2.0725478731771463,-2.93337810791795,4.883615378274924
-2.14653398263879,-2.930013436917804,4.97094570849517
-2.157757521553913,-2.849381776338364,5.089085164943496
-2.1853654868904955,-2.8552471271869573,5.096876698170396
-2.244146409470858,-2.83893176642447,5.197301238105182
-2.2866089085345584,-2.7108484586625536,5.23010322993686
-2.2807622089640476,-2.6718209508585797,5.235064374601453
-2.3312361026441324,-2.7057978770703563,5.277867877985083
-2.3289562861088005,-2.5860516693611793,5.3016547329886965
-2.335928533970355,-2.647329456730663,5.331346023970607
-2.3204093490981075,-2.625242454260442,5.358443480763956
-2.3080493949569805,-2.669697364342976,5.3656933465253855
-2.3070199302356023,-2.765463403758344,5.428027603555395
-2.3400184167264557,-2.713924710361503,5.48521578098915
-2.3699181571086974,-2.6483446987071884,5.547187387534352
-2.436034152553422,-2.69524322107505,5.514654110478086
-2.450617287047555,-2.5714552852748636,5.548577419998238
-2.441874162585205,-2.596968607494331,5.563417599110796
-2.4299476740752213,-2.417056656522801,5.5804088830789995
-2.418415589482866,-2.3969554062488494,5.558603403638026
-2.446593804155922,-2.453989181352864,5.5318177872305325
-2.4558189930589536,-2.5563513127756994,5.5338061410715085
-2.4541047135437277,-2.6215715786204385,5.544812852287938
-2.465359174803037,-2.6923877872324984,5.603832636039501
-2.486479412885877,-2.65320990701924,5.676079732906083
-2.4716155140965737,-2.72577388386811,5.726440978188499
-2.4620300502190253,-2.7893119054221907,5.744637167813215
-2.4680415468405736,-2.692075932316416,5.837554542499985
-2.5132904546676897,-2.8226135860895503,5.874420364565511
-2.5527282276041907,-2.863100894437635,5.906649627782387
-2.605045670370433,-2.8905598959324106,5.934848632425571
-2.607637847472803,-2.886649870858204,5.988929273675586
-2.622435609446628,-2.937770603221837,6.084470595885707
-2.607514644198727,-2.948970285244988,6.154076965192622
-2.6477726832959894,-2.983411295123493,6.244935260544822
-2.7246026740918454,-2.9337604843669247,6.315401330350199
-2.748879111848942,-2.794328797704012,6.350424624212249
-2.7854420838561906,-2.3889745747310305,6.339726399265898
-2.7977949464625445,-2.240108335677832,6.245966535088182
-2.7481833103480056,-2.122346638267005,6.097722879918845
-2.7063739876638704,-2.2614344664050074,5.994960487188859
-2.6754195485069943,-2.449150719816412,5.975594636951157
-2.705503239166472,-2.481701487302491,6.022357644372469
-2.7117234163255706,-2.5488628300756444,6.065759704445631
-2.7086762785613763,-2.595863254878376,6.08812074381251
-2.690401915062409,-2.4844033556379315,6.146461511959344
-2.7078807798169033,-2.063864207117436,6.143203547892774
-2.685757195782242,-1.9223327541861082,6.008880390835111
-2.6851886968508514,-1.7925334091104155,5.868581153933622
-2.63027879035067,-1.6596708665435738,5.730468060265588
-2.616348614302948,-1.6118118746340957,5.557760446379819
-2.5309008829255326,-1.388062172070842,5.368952805466977
-2.5380369852949047,-1.5891390367111022,5.2565941246951615
-2.466762271264545,-1.673490563378381,5.190192822415868
-2.383219676825668,-1.96483898952231,5.203018341437471
-2.369518886105448,-2.1663963913408737,5.284254660877759
-2.344490169118348,-2.2521605162118745,5.341448933268554
-2.3658821881243233,-2.368802102341662,5.4006926204573125
-2.356440458864385,-2.305545715616252,5.459201744916128
-2.428907000398338,-2.2540132623249693,5.440042144634404
